-25.0050322232	-4306.93099315	106.377555478	-4417.14796286	-4204.19434945	-4519.68610411	-4094.17588219
-24.5049364809	-4302.3251283	106.813757341	-4417.28407304	-4203.75080076	-4515.95264298	-4088.69761362
-24.0048405386	-4291.9527706	100.7648633	-4428.48423327	-4201.1402267	-4493.4824972	-4090.423044
-23.5047443961	-4283.68868466	108.273273204	-4447.5173394	-4198.6141179	-4500.23523107	-4067.14213826
-23.0046480535	-4276.36468935	115.857525732	-4447.5173394	-4184.33398347	-4508.07974081	-4044.64963788
-22.5045515107	-4263.2934414	102.321351487	-4450.71996316	-4182.59134519	-4467.93614437	-4058.65073842
-22.0044547679	-4266.7266662	111.960295759	-4450.71996316	-4179.60066362	-4490.64725771	-4042.80607468
-21.5043578249	-4244.96531233	78.3695574	-4454.2209048	-4177.56441924	-4401.70442713	-4088.22619753
-21.0042606818	-4246.1329098	84.946596638	-4454.2209048	-4158.53136275	-4416.02610308	-4076.23971653
-20.5041633386	-4243.14213374	125.080422712	-4454.2209048	-4139.95772965	-4493.30297917	-3992.98128832
-20.0040657953	-4233.15694872	147.425118887	-4462.25709941	-4129.92865244	-4528.0071865	-3938.30671095
-19.5039680519	-4225.86584728	170.228240328	-4462.25709941	-4106.09016181	-4566.32232794	-3885.40936663
-19.0038701084	-4211.6831003	169.078057001	-4462.25709941	-4085.93116314	-4549.8392143	-3873.5269863
-18.5037719648	-4196.91459131	168.6021887	-4462.25709941	-4060.43105899	-4534.11896871	-3859.71021391
-18.003673621	-4197.1281863	186.390477916	-4462.25709941	-4036.89724069	-4569.90914214	-3824.34723047
-17.5035750772	-4199.44622973	194.563178879	-4462.25709941	-4012.07390456	-4588.57258749	-3810.31987198
-17.0034763333	-4191.97761568	212.188182329	-4462.25709941	-3981.14612438	-4616.35398034	-3767.60125103
-16.5033773893	-4175.70171079	226.88313815	-4462.25709941	-3947.63218133	-4629.46798709	-3721.93543449
-16.0032782452	-4158.94872679	231.811997511	-4462.25709941	-3884.7730168	-4622.57272181	-3695.32473177
-15.503178901	-4129.28282924	226.98122995	-4462.25709941	-3882.29760095	-4583.24528914	-3675.32036934
-15.0030793567	-4095.64464189	220.311571516	-4462.25709941	-3869.51534271	-4536.26778493	-3655.02149886
-14.5029796123	-4064.1622309	221.258606666	-4462.25709941	-3860.30282613	-4506.67944423	-3621.64501756
-14.0028796679	-4032.46967801	199.657262457	-4462.25709941	-3859.87579631	-4431.78420292	-3633.15515309
-13.5027795234	-4020.04609645	193.859379491	-4462.25709941	-3840.57735473	-4407.76485543	-3632.32733746
-13.0026791788	-4007.55120698	196.933003882	-4462.25709941	-3831.28386353	-4401.41721474	-3613.68519921
-12.5025786341	-3988.27753569	170.209041358	-4462.25709941	-3828.81100744	-4328.69561841	-3647.85945298
-12.0024778894	-3962.10750259	166.501243667	-4462.25709941	-3823.61808654	-4295.10998993	-3629.10501526
-11.5023769445	-3991.57998465	174.149866137	-4462.25709941	-3823.61808654	-4339.87971692	-3643.28025237
-11.0022757997	-4034.43604903	190.342661129	-4462.25709941	-3823.61808654	-4415.12137129	-3653.75072677
-10.5021744547	-4027.56693505	173.3120886	-4462.25709941	-3823.61808654	-4374.19111225	-3680.94275785
-10.0020729097	-4020.57969065	154.236866517	-4462.25709941	-3823.61808654	-4329.05342368	-3712.10595761
-9.50197116462	-4014.7081697	161.783919161	-4462.25709941	-3823.61808654	-4338.27600802	-3691.14033138
-9.00186921949	-4009.40122783	180.569979857	-4462.25709941	-3823.61808654	-4370.54118754	-3648.26126811
-8.5017670743	-4013.23371551	174.52341429	-4462.25709941	-3823.61808654	-4362.28054409	-3664.18688693
-8.00166472906	-4028.0880045	198.277172126	-4462.25709941	-3823.61808654	-4424.64234875	-3631.53366025
-7.50156218377	-4019.41553802	153.298871776	-4462.25709941	-3823.61808654	-4326.01328157	-3712.81779446
-7.00145943844	-4014.17189358	135.614517827	-4462.25709941	-3823.61808654	-4285.40092924	-3742.94285793
-6.50135649305	-4019.32326255	122.446333942	-4462.25709941	-3823.61808654	-4264.21593043	-3774.43059467
-6.00125334762	-4040.27423402	111.2708588	-4462.25709941	-3823.61808654	-4262.81595162	-3817.73251642
-5.50115000216	-4069.43901528	101.529798175	-4462.25709941	-3823.61808654	-4272.49861163	-3866.37941893
-5.00104645665	-4076.6353286	61.8404310962	-4462.25709941	-3823.61808654	-4200.31619079	-3952.95446641
-4.50094271111	-4103.78884541	62.6709484049	-4462.25709941	-3823.61808654	-4229.13074222	-3978.4469486
-4.00083876553	-4154.10007537	133.97326479	-4462.25709941	-3823.61808654	-4422.04660495	-3886.15354579
-3.50073461992	-4201.75839682	154.15789053	-4462.25709941	-3823.61808654	-4510.07417788	-3893.44261576
-3.00063027428	-4290.48315454	215.393677165	-4532.14829068	-3823.61808654	-4721.27050887	-3859.69580021
-2.50052572862	-4307.76064549	186.698007388	-4641.35912991	-3823.61808654	-4681.15666026	-3934.36463071
-2.00042098293	-4444.51055909	106.146739072	-4715.98723336	-3823.61808654	-4656.80403723	-4232.21708095
-1.50031603723	-4614.88619169	161.47459208	-4761.42063819	-3823.61808654	-4937.83537585	-4291.93700753
-1.0002108915	-4722.8840095	97.0867404118	-4792.9629503	-3823.61808654	-4917.05749033	-4528.71052868
-0.500105545756	-4752.277075	71.5633964855	-4804.56465251	-3823.61808654	-4895.40386797	-4609.15028202
0	-4735.62811326	45.0901804685	-4804.56465251	-3823.61808654	-4825.8084742	-4645.44775232
